Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
9,6,9.50,Female,$200.00,5/17/2017,11:30,L-31N,24.00,Burmese,107
13,8,13.67,Female,$300.00,5/17/2017,22:10,L-67,58.00,Burmese,108
10,6,10.50,Female,$225.00,5/17/2017,22:45,L-67,27.00,Burmese,109
9,2,9.17,Female,$175.00,5/19/2017,9:32,L-67,28.00,Burmese,110
9,11,9.92,Male,$200.00,5/19/2017,8:43,L-67,22.00,Burmese,111
6,2,6.17,Male,$100.00,5/15/2017,21:48,L-28T,7.00,Burmese,98
5,7,5.58,Male,$100.00,5/15/2017,22:07,L-28T,4.00,Burmese,99
7,,7.00,Female,$125.00,5/20/2017,0:44,L-28T,8.00,Burmese,112
6,,6.00,Male,$100.00,5/20/2017,1:12,L-28T,4.00,Burmese,113
9,1,9.08,Female,$175.00,5/20/2017,22:16,L-30,16.00,Burmese,114
8,7,8.58,Male,$175.00,5/21/2017,14:30,L-31N,13.00,Burmese,116
8,1,8.08,Male,$150.00,5/20/2017,14:40,C-110,12.00,Burmese,115
4,7,4.58,Female,$75.00,5/21/2017,8:30,L-30,4.00,Burmese,117
12,6,12.50,Female,$275.00,5/22/2017,12:00,L28T,44.00,Burmese,119
7,7,7.58,Female,$150.00,5/23/2017,22:10,Rocky Glades,12.00,Burmese,122
8,6,8.50,Male,$175.00,5/23/2017,23:20,L-67,12.00,Burmese,123
6,3,6.25,Female,$100.00,5/22/2017,21:00,Rocky Glades,8.00,Burmese,120
8,,8.00,Female,$150.00,5/22/2017,22:30,Rocky Glades,18.00,Burmese,121
8,2,8.17,Male,$150.00,5/25/2017,21:06,Rocky Glades,16.00,Burmese,126
8,11,8.92,Male,$0.00,5/27/2017,0:11,L-28T,10.00,Burmese,133
7,,7.00,Male,$0.00,5/27/2017,21:20,L-28T,8.00,Burmese,134
9,6,9.50,Female,$200.00,5/23/2017,21:31,L-67,18.00,Burmese,124
7,7,7.58,Female,$150.00,5/23/2017,22:44,L-67,12.00,Burmese,125
3,9,3.75,Male,$50.00,5/25/2017,23:04,L-31N,2.00,Burmese,127
7,6,7.50,Female,$150.00,5/26/2017,22:46,L-31N,8.00,Burmese,130
8,1,8.08,Female,$150.00,5/27/2017,23:56,L-67,11.00,Burmese,135
11,1,11.08,Female,$225.00,5/27/2017,23:36,L-67,24.00,Burmese,136
9,8,9.67,Female,$200.00,5/28/2017,1:06,L-28T,17.00,Burmese,139
5,6,5.50,Male,$100.00,5/27/2017,14:28,L-28T,4.00,Burmese,137
10,6,10.50,Female,$225.00,5/28/2017,7:35,Aerojet,30.00,Burmese,140
9,4,9.33,Female,$175.00,5/28/2017,0:20,Rocky Glades,22.00,Burmese,143
4,7,4.58,Female,$75.00,5/29/2017,0:30,Rocky Glades,3.00,Burmese,146
8,4,8.33,Male,$150.00,5/26/2017,23:58,Rocky Glades,14.00,Burmese,131
6,3,6.25,Male,$100.00,5/26/2017,23:50,Rocky Glades,10.00,Burmese,132
6,2,6.17,Female,$100.00,5/27/2017,22:50,Rocky Glades,8.00,Burmese,138
11,,11.00,Male,$225.00,5/30/2017,8:35,L-30,34.00,Burmese,154
4,5,4.42,Female,$50.00,5/21/2017,12:00,L-30,4.00,Ball,118
10,9,10.75,Female,$225.00,5/29/2017,21:45,L-67A,32.00,Burmese,147
7,9,7.75,Male,$150.00,5/25/2017,21:45,Frog Pond,10.00,Burmese,128
11,,11.00,Female,$225.00,5/25/2017,22:00,Frog Pond,30.00,Burmese,129
10,,10.00,Female,$200.00,5/30/2017,1:00,L-67,22.00,Burmese,148
4,,4.00,Female,$50.00,5/30/2017,21:30,Frog Pond,1.00,Burmese,149
7,2,7.17,Male,$0.00,5/31/2017,22:57,L-28T,8.00,Burmese,155
