Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
2,6,2.50,Female,$50.00,7/30/2019,23:19,L-31E,1.00,Burmese,2276
2,5,2.42,Male,$50.00,7/26/2019,0:05,L-31E,1.00,Burmese,2219
2,3,2.25,Male,$50.00,7/27/2019,0:06,L-31E,1.00,Burmese,2231
2,5,2.42,Male,$50.00,7/27/2019,22:33,L-31E,1.00,Burmese,2232
2,5,2.42,Male,$50.00,7/27/2019,22:50,L-31E,1.00,Burmese,2233
2,6,2.50,Male,$50.00,7/27/2019,23:35,L-31E,1.00,Burmese,2234
2,6,2.50,Female,$50.00,7/28/2019,1:05,L-31E,1.00,Burmese,2245
2,5,2.42,Male,$50.00,7/28/2019,1:09,L-31E,1.00,Burmese,2246
5,3,5.25,Male,$75.00,7/28/2019,22:19,L-31E,2.00,Burmese,2247
9,0,9.00,Male,$175.00,7/28/2019,23:00,L-31E,13.00,Burmese,2248
2,5,2.42,Female,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2249
2,4,2.33,Male,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2250
2,6,2.50,Female,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2251
2,7,2.58,Male,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2252
2,4,2.33,Male,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2253
2,4,2.33,Male,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2254
2,6,2.50,Female,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2255
2,4,2.33,Male,$50.00,7/28/2019,23:11,L-31E,1.00,Burmese,2256
5,6,5.50,Male,$100.00,7/30/2019,0:44,L-31E,3.00,Burmese,2277
5,8,5.67,Female,$100.00,7/30/2019,0:44,L-31E,3.00,Burmese,2278
2,5,2.42,Female,$50.00,7/31/2019,1:12,L-31E,1.00,Burmese,2286
2,5,2.42,Female,$50.00,7/31/2019,1:58,L-31E,1.00,Burmese,2287
2,4,2.33,Male,$50.00,8/1/2019,0:01,L-31E,1.00,Burmese,2294
5,0,5.00,Male,$75.00,7/31/2019,20:48,Aerojet Road,2.00,Burmese,2288
2,7,2.58,Female,$50.00,7/31/2019,22:25,L-31W,1.00,Burmese,2289
2,4,2.33,Female,N/A,7/31/2019,22:20,L-28T,0.22,Burmese,2280
6,10,6.83,Female,$125.00,8/3/2019,22:30,L-28T,30.00,Burmese,2304
8,8,8.67,Female,$175.00,8/3/2019,23:30,L-28T,34.00,Burmese,2305
2,4,2.33,?,$50.00,8/4/2019,21:30,L-28T,1.00,Burmese,2309
2,2,2.17,Female,$50.00,8/1/2019,22:50,C-102,1.00,Burmese,2295
6,11,6.92,Male,$125.00,8/2/2019,21:05,Rocky Glades,8.00,Burmese,2298
2,8,2.67,Male,$50.00,8/3/2019,22:51,C-102,1.00,Burmese,2306
7,1,7.08,Male,$125.00,8/4/2019,20:45,Rocky Glades,7.00,Burmese,2310
15,0,15.00,Female,$325.00,8/6/2019,22:05,L-31W,112.00,Burmese,2315
9,11,9.92,Female,$200.00,8/6/2019,23:30,L-31N,20.00,Burmese,2316
7,9,7.75,Female,$150.00,8/7/2019,20:45,Rocky Glades,8.00,Burmese,2321
2,5,2.42,Female,$50.00,8/7/2019,21:55,Rocky Glades,1.00,Burmese,2322
2,4,2.33,Male,$50.00,8/7/2019,22:00,Rocky Glades,1.00,Burmese,2323
2,3,2.25,Female,$50.00,8/7/2019,22:55,Rocky Glades,1.00,Burmese,2324
2,4,2.33,Male,$50.00,8/6/2019,22:11,L-31E,1.00,Burmese,2317
2,6,2.50,Male,$50.00,8/6/2019,22:11,L-31E,1.00,Burmese,2318
7,6,7.50,Female,$150.00,8/6/2019,23:53,L-31E,4.00,Burmese,2319
2,4,2.33,Female,$50.00,8/7/2019,23:18,L-31E,1.00,Burmese,2325
2,6,2.50,Female,$50.00,8/7/2019,23:36,L-31E,1.00,Burmese,2326
7,0,7.00,Female,$125.00,8/7/2019,23:33,L-31E,4.00,Burmese,2327
2,5,2.42,Male,$50.00,8/2/2019,1:07,L-31E,1.00,Burmese,2299
2,4,2.33,Female,$50.00,8/5/2019,23:49,L-31E,1.00,Burmese,2312
2,5,2.42,Female,$50.00,8/7/2019,0:20,L-31E,1.00,Burmese,2328
2,5,2.42,Female,$50.00,8/7/2019,0:28,L-31E,1.00,Burmese,2329
2,5,2.42,Female,$50.00,8/7/2019,1:15,C-103,1.00,Burmese,2330
2,4,2.33,Female,$50.00,8/7/2019,1:15,C-103,1.00,Burmese,2331
2,4,2.33,Male,$50.00,8/7/2019,1:47,C-103,1.00,Burmese,2332
2,4,2.33,Male,$50.00,8/7/2019,1:31,C-103,1.00,Burmese,2333
2,6,2.50,Male,$50.00,8/8/2019,1:02,C-103,1.00,Burmese,2335
2,5,2.42,Male,$50.00,8/8/2019,1:05,C-103,1.00,Burmese,2336
2,5,2.42,Male,$50.00,8/8/2019,1:08,C-103,1.00,Burmese,2337
2,4,2.33,Female,$50.00,8/8/2019,1:14,C-103,1.00,Burmese,2338
2,5,2.42,Male,$50.00,8/8/2019,1:15,C-103,1.00,Burmese,2339
2,5,2.42,Male,$50.00,8/8/2019,1:18,C-103,1.00,Burmese,2340
2,4,2.33,Female,$0.00,8/9/2019,23:49,L-28T,0.26,Burmese,2353
2,4,2.33,Male,$0.00,8/9/2019,23:49,L-28T,0.18,Burmese,2354
6,9,6.75,Female,$125.00,8/8/2019,22:00,Rocky Glades,4.00,Burmese,2341
2,5,2.42,Male,$50.00,8/10/2019,21:33,L-31W,1.00,Burmese,2374
8,2,8.17,Female,$150.00,8/10/2019,22:35,Rocky Glades,10.00,Burmese,2375
9,6,9.50,Female,$200.00,8/11/2019,22:10,Rocky Glades,24.00,Burmese,2388
2,3,2.25,Female,$50.00,7/27/2019,23:03,L-31W,1.00,Burmese,2235
2,5,2.42,Female,$50.00,7/30/2019,0:31,L-31E,1.00,Burmese,2279
2,9,2.75,Female,$50.00,8/1/2019,22:39,L-28T,1.00,Burmese,2296
12,6,12.50,Female,$275.00,8/2/2019,1:37,L-28T,39.00,Burmese,2300
2,4,2.33,Male,$50.00,8/2/2019,2:49,L-28T,1.00,Burmese,2301
2,2,2.17,Female,$50.00,8/8/2019,22:02,L-31E,1.00,Burmese,2342
8,8,8.67,Female,$175.00,8/9/2019,0:14,L-31E,10.00,Burmese,2355
2,3,2.25,Female,$50.00,8/10/2019,22:04,L-31E,1.00,Burmese,2376
2,4,2.33,Male,$50.00,8/10/2019,1:05,L-31E,1.00,Burmese,2377
2,2,2.17,Male,$50.00,8/1/2019,22:00,L-31E,1.00,Burmese,2297
6,1,6.08,Male,$100.00,8/3/2019,22:07,L-31E,4.00,Burmese,2307
2,7,2.58,Male,$50.00,8/5/2019,22:15,Rocky Glades,1.00,Burmese,2313
2,5,2.42,Male,$50.00,8/12/2019,0:36,C-103,1.00,Burmese,2397
2,5,2.42,Male,$50.00,8/12/2019,0:32,C-103,1.00,Burmese,2398
2,8,2.67,Female,$50.00,8/12/2019,0:42,C-103,1.00,Burmese,2399
2,7,2.58,Female,$50.00,8/12/2019,0:50,C-103,1.00,Burmese,2400
2,6,2.50,Female,$50.00,8/14/2019,22:07,C-103,1.00,Burmese,2418
2,5,2.42,Female,$50.00,8/14/2019,22:47,C-103,1.00,Burmese,2419
2,5,2.42,Female,$50.00,8/14/2019,22:56,C-103,1.00,Burmese,2420
2,5,2.42,Male,$50.00,8/14/2019,23:32,C-102,1.00,Burmese,2421
2,5,2.42,Male,$50.00,8/14/2019,23:39,C-102,1.00,Burmese,2422
2,3,2.25,Male,$50.00,8/14/2019,23:43,C-102,1.00,Burmese,2423
2,4,2.33,Male,$50.00,8/15/2019,0:00,C-103,1.00,Burmese,2427
2,5,2.42,Male,$50.00,8/15/2019,0:05,C-103,1.00,Burmese,2428
2,7,2.58,Female,$50.00,8/15/2019,0:10,C-103,1.00,Burmese,2429
2,4,2.33,Female,$50.00,8/15/2019,0:16,C-103,1.00,Burmese,2430
6,9,6.75,Female,$125.00,8/13/2019,22:40,Rocky Glades,6.00,Burmese,2408
2,3,2.25,Male,$50.00,8/13/2019,23:45,Rocky Glades,1.00,Burmese,2409
2,5,2.42,Male,$50.00,8/14/2019,23:35,L-31E,1.00,Burmese,2424
2,2,2.17,Male,$50.00,8/15/2019,0:20,C-102,1.00,Burmese,2431
2,3,2.25,Female,$50.00,8/15/2019,0:25,C-102,1.00,Burmese,2432
8,6,8.50,Female,$175.00,7/31/2019,0:30,L-31N,18.00,Burmese,2290
6,9,6.75,Female,$125.00,7/31/2019,1:29,L-31N,8.00,Burmese,2291
6,0,6.00,Female,$100.00,7/31/2019,22:00,L-31E,6.00,Burmese,2292
2,5,2.42,Female,$50.00,8/8/2019,21:45,L-31E,1.00,Burmese,2343
2,5,2.42,Female,$50.00,8/8/2019,22:10,C-102,1.00,Burmese,2344
2,5,2.42,Female,$50.00,8/8/2019,22:35,C-103,1.00,Burmese,2345
2,3,2.25,Female,$50.00,8/8/2019,21:12,G-95,1.00,Burmese,2346
2,3,2.25,Female,$50.00,8/8/2019,21:30,G-95,8.00,Burmese,2347
2,5,2.42,Female,$50.00,8/8/2019,21:35,C-103,1.00,Burmese,2348
2,5,2.42,Female,$50.00,8/8/2019,21:45,L-31E,1.00,Burmese,2349
2,3,2.25,Female,$50.00,8/9/2019,21:05,L-31E,1.00,Burmese,2356
2,4,2.33,Male,$50.00,8/10/2019,22:22,L-31E,1.00,Burmese,2378
2,4,2.33,Male,$50.00,8/10/2019,22:10,L-31E,1.00,Burmese,2379
2,6,2.50,Female,$50.00,8/10/2019,23:40,L-31E,1.00,Burmese,2380
2,6,2.50,Female,$50.00,8/10/2019,21:40,C-103,1.00,Burmese,2381
2,4,2.33,Female,$50.00,8/11/2019,21:40,G-95,1.00,Burmese,2389
2,6,2.50,Female,$50.00,8/12/2019,23:50,Rocky Glades,1.00,Burmese,2401
2,5,2.42,Male,$50.00,8/13/2019,1:30,Rocky Glades,1.00,Burmese,2410
6,0,6.00,Female,$100.00,8/14/2019,22:20,C-102,8.00,Burmese,2425
11,0,11.00,Female,$225.00,7/26/2019,22:58,L-67A,36.00,Burmese,2220
7,7,7.58,Male,$150.00,8/17/2019,1:13,L-28T,40.00,Burmese,2442
2,10,2.83,?,$50.00,8/18/2019,0:15,L-28T,1.00,Burmese,2445
9,9,9.75,Female,$200.00,8/18/2019,1:15,L-28T,50.00,Burmese,2446
6,5,6.42,Male,$100.00,8/9/2019,20:39,L-28T,25.00,Burmese,2350
2,3,2.25,?,$50.00,8/9/2019,20:39,L-28T,1.00,Burmese,2351
4,7,4.58,Male,$75.00,8/9/2019,20:39,L-28T,15.00,Burmese,2352
5,5,5.42,Male,$75.00,8/10/2019,21:57,L-28T,22.00,Burmese,2358
2,5,2.42,?,$50.00,8/10/2019,1:30,L-28T,1.00,Burmese,2359
2,4,2.33,?,$50.00,8/10/2019,1:35,L-28T,1.00,Burmese,2360
2,3,2.25,?,$50.00,8/10/2019,1:40,L-28T,1.00,Burmese,2361
2,5,2.42,?,$50.00,8/10/2019,1:45,L-28T,1.00,Burmese,2362
2,4,2.33,?,$50.00,8/10/2019,1:50,L-28T,1.00,Burmese,2363
2,5,2.42,?,$50.00,8/10/2019,1:55,L-28T,1.00,Burmese,2364
2,4,2.33,?,$50.00,8/10/2019,2:00,L-28T,1.00,Burmese,2365
2,3,2.25,?,$50.00,8/10/2019,2:05,L-28T,1.00,Burmese,2366
2,5,2.42,?,$50.00,8/10/2019,2:10,L-28T,1.00,Burmese,2367
2,3,2.25,?,$50.00,8/10/2019,2:15,L-28T,1.00,Burmese,2368
2,4,2.33,?,$50.00,8/10/2019,2:20,L-28T,1.00,Burmese,2369
2,5,2.42,?,$50.00,8/10/2019,2:25,L-28T,1.00,Burmese,2370
2,4,2.33,?,$50.00,8/10/2019,2:30,L-28T,1.00,Burmese,2371
2,4,2.33,?,$50.00,8/10/2019,2:35,L-28T,1.00,Burmese,2372
5,6,5.50,Male,$100.00,8/10/2019,21:57,L-28T,26.00,Burmese,2373
6,7,6.58,Female,$125.00,8/11/2019,23:31,L-28T,30.00,Burmese,2383
6,2,6.17,Male,$100.00,8/11/2019,0:34,L-28T,22.00,Burmese,2384
2,5,2.42,?,$50.00,8/11/2019,0:34,L-28T,1.00,Burmese,2385
2,2,2.17,?,$50.00,8/11/2019,0:34,L-28T,1.00,Burmese,2386
2,3,2.25,?,$50.00,8/11/2019,0:34,L-28T,1.00,Burmese,2387
2,4,2.33,?,$50.00,8/13/2019,22:02,L-28T,1.00,Burmese,2403
2,4,2.33,?,$50.00,8/13/2019,22:10,L-28T,1.00,Burmese,2404
2,8,2.67,?,$50.00,8/13/2019,22:20,L-28T,1.00,Burmese,2405
2,4,2.33,?,$50.00,8/13/2019,22:40,L-28T,1.00,Burmese,2406
2,9,2.75,?,$50.00,8/13/2019,22:45,L-28T,1.00,Burmese,2407
2,6,2.50,?,$50.00,8/14/2019,0:51,L-28T,1.00,Burmese,2411
2,11,2.92,?,$50.00,8/14/2019,0:57,L-28T,1.00,Burmese,2412
7,10,7.83,Male,$150.00,8/14/2019,23:14,L-28T,36.00,Burmese,2413
2,5,2.42,?,$50.00,8/14/2019,2:11,L-28T,1.00,Burmese,2414
2,3,2.25,?,$50.00,8/14/2019,2:20,L-28T,1.00,Burmese,2415
2,4,2.33,?,$50.00,8/14/2019,2:30,L-28T,1.00,Burmese,2416
12,0,12.00,Female,$250.00,8/14/2019,1:31,L-28T,70.00,Burmese,2417
7,8,7.67,Male,$150.00,8/15/2019,15:16,L-28T,37.00,Burmese,2426
11,0,11.00,Female,$225.00,8/16/2019,2:51,L-28T,49.00,Burmese,2438
2,3,2.25,?,$50.00,8/16/2019,0:11,L-28T,1.00,Burmese,2439
8,7,8.58,Male,$175.00,8/16/2019,2:49,L-28T,42.00,Burmese,2440
3,0,3.00,Female,$50.00,8/16/2019,23:43,Frog Pond,1.00,Burmese,2441
2,9,2.75,Female,$50.00,8/17/2019,23:40,C-102,1.00,Burmese,2443
2,6,2.50,Female,$50.00,8/18/2019,23:35,L-31E,1.00,Burmese,2447
7,6,7.50,Female,$150.00,8/15/2019,23:44,L-31E,8.00,Burmese,2433
7,4,7.33,Female,$125.00,8/17/2019,1:18,L-28T,7.00,Burmese,2444
2,4,2.33,Female,$50.00,8/18/2019,22:35,L-31E,1.00,Burmese,2448
4,8,4.67,Male,$75.00,8/18/2019,23:30,L-31E,2.00,Burmese,2449
15,1,15.08,Female,$325.00,8/15/2019,22:00,C-4,64.00,Burmese,2434
8,3,8.25,Female,$150.00,7/18/2019,23:55,L-28T,16.00,Burmese,2178
2,4,2.33,Female,$50.00,8/12/2019,0:15,L-28T,0.31,Burmese,2402
2,4,2.33,Male,$50.00,8/19/2019,21:07,L-31E,1.00,Burmese,2452
2,11,2.92,Female,$50.00,8/20/2019,22:30,L-31E,1.00,Burmese,2458
2,4,2.33,Female,$50.00,8/21/2019,22:20,C-102,1.00,Burmese,2464
2,5,2.42,Male,$50.00,8/18/2019,23:05,C-102,1.00,Burmese,2450
2,6,2.50,Male,$50.00,8/18/2019,23:10,C-102,1.00,Burmese,2451
2,3,2.25,Male,$50.00,8/19/2019,23:25,C-102,1.00,Burmese,2453
2,6,2.50,Female,$50.00,8/19/2019,22:52,C-103,1.00,Burmese,2454
2,7,2.58,Male,$50.00,8/19/2019,22:56,C-103,1.00,Burmese,2455
2,6,2.50,Female,$50.00,8/19/2019,23:02,C-103,1.00,Burmese,2456
2,5,2.42,Male,$50.00,8/19/2019,23:25,G-95,1.00,Burmese,2457
2,5,2.42,Male,$50.00,8/20/2019,,G-95,1.00,Burmese,2459
2,6,2.50,Female,$50.00,8/20/2019,,L-31E,1.00,Burmese,2460
2,6,2.50,Female,$50.00,8/21/2019,,C-103,1.00,Burmese,2465
2,7,2.58,Male,$50.00,8/21/2019,,C-103,1.00,Burmese,2466
2,7,2.58,Female,$50.00,8/21/2019,,L-31E,1.00,Burmese,2467
2,5,2.42,Female,$50.00,8/22/2019,,C-103,1.00,Burmese,2481
2,5,2.42,Male,$50.00,8/22/2019,,C-103,1.00,Burmese,2482
2,7,2.58,Male,$50.00,8/22/2019,,C-103,1.00,Burmese,2483
8,10,8.83,Male,$175.00,8/21/2019,21:00,Rocky Glades,16.00,Burmese,2468
2,2,2.17,Female,$50.00,8/15/2019,22:11,L-31E,1.00,Burmese,2435
2,2,2.17,Female,$50.00,8/15/2019,22:23,L-31E,1.00,Burmese,2436
7,7,7.58,Male,$150.00,8/22/2019,1:44,L-28T,9.00,Burmese,2484
9,7,9.58,Male,$200.00,8/21/2019,20:11,Rocky Glades,12.00,Burmese,2469
11,6,11.50,Female,$250.00,8/21/2019,21:00,Rocky Glades,56.00,Burmese,2470
2,4,2.33,Female,$50.00,8/21/2019,22:00,Rocky Glades,1.00,Burmese,2471
2,1,2.08,Female,$50.00,8/21/2019,22:03,Rocky Glades,1.00,Burmese,2472
2,3,2.25,Male,$50.00,8/21/2019,22:15,Rocky Glades,1.00,Burmese,2473
6,7,6.58,Female,$125.00,8/5/2019,13:56,L-28T,11.00,Burmese,2320
2,5,2.42,,$50.00,8/6/2019,1:51,L-28T,0.50,Burmese,2475
2,5,2.42,,$50.00,8/7/2019,1:00,C-111,0.50,Burmese,2314
2,5,2.42,,$50.00,8/15/2019,0:49,C-111,0.50,Burmese,2474
6,0,6.00,Female,$100.00,8/21/2019,1:31,L-28T,8.00,Burmese,2334
8,8,8.67,Female,$175.00,8/21/2019,2:05,L-28T,20.00,Burmese,2437
8,5,8.42,Female,N/A,8/23/2019,0:59,Rocky Glades,13.21,Burmese,2489
2,10,2.83,Female,$50.00,8/24/2019,0:30,L-28T,0.50,Burmese,2495
6,9,6.75,Male,$125.00,8/24/2019,22:30,L-28T,36.00,Burmese,2496
11,5,11.42,Female,$225.00,8/25/2019,0:30,L-28T,62.00,Burmese,2497
14,2,14.17,Female,$300.00,8/26/2019,4:30,L-28T,78.00,Burmese,2502
2,3,2.25,Male,$50.00,8/22/2019,21:30,L-28T,1.00,Burmese,2485
10,6,10.50,Female,$225.00,8/24/2019,0:40,L-31E,37.00,Burmese,2492
2,3,2.25,Female,$50.00,8/24/2019,22:29,L-31E,1.00,Burmese,2493
11,10,11.83,Female,$250.00,8/21/2019,21:00,Rocky Glades,24.00,Burmese,2476
5,0,5.00,Female,$75.00,7/17/2019,21:45,L-28T,2.00,Burmese,2169
5,5,5.42,Male,$75.00,7/21/2019,22:40,L-28T,2.00,Burmese,2479
5,2,5.17,Female,$75.00,7/22/2019,22:45,L-28T,2.00,Burmese,2480
2,1,2.08,Male,$50.00,8/2/2019,23:30,Rocky Glades,1.00,Burmese,2486
8,3,8.25,Female,$150.00,8/3/2019,0:00,Rocky Glades,16.00,Burmese,2494
5,7,5.58,Male,$100.00,8/20/2019,21:45,Rocky Glades,4.00,Burmese,2199
5,2,5.17,Female,$75.00,8/20/2019,23:00,Rocky Glades,2.00,Burmese,2204
7,9,7.75,Female,$150.00,8/21/2019,2:30,Rocky Glades,8.00,Burmese,2302
7,1,7.08,Male,$125.00,8/21/2019,3:30,Rocky Glades,10.00,Burmese,2308
6,0,6.00,Female,$100.00,8/21/2019,22:10,Rocky Glades,2.00,Burmese,2461
5,8,5.67,Male,$100.00,8/21/2019,2:20,L-28T,2.00,Burmese,2478
6,4,6.33,Male,$100.00,8/22/2019,2:00,Rocky Glades,4.00,Burmese,2462
7,9,7.75,Female,$150.00,8/24/2019,4:45,Rocky Glades,10.00,Burmese,2477
6,8,6.67,Female,$125.00,8/22/2019,22:26,L-28T,7.00,Burmese,2487
9,3,9.25,Female,$175.00,8/23/2019,3:03,L-28T,24.00,Burmese,2490
8,2,8.17,Female,$150.00,8/27/2019,21:37,Frog Pond,14.00,Burmese,2505
2,6,2.50,Male,$50.00,8/22/2019,23:57,C-103,1.00,Burmese,2517
2,7,2.58,Female,$50.00,8/23/2019,0:42,C-102,1.00,Burmese,2518
2,7,2.58,Male,$50.00,8/25/2019,23:45,C-103,1.00,Burmese,2504
2,8,2.67,Female,$50.00,8/25/2019,23:58,C-103,1.00,Burmese,2511
2,8,2.67,Female,$50.00,8/26/2019,23:52,Military Canal,1.00,Burmese,2499
2,5,2.42,Male,$50.00,8/26/2019,23:54,Military Canal,1.00,Burmese,2503
2,7,2.58,Female,$50.00,8/28/2019,23:58,C-103,1.00,Burmese,2498
11,9,11.75,Female,$250.00,8/29/2019,1:15,C-102,18.00,Burmese,2488
5,6,5.50,Male,$100.00,8/29/2019,1:15,C-102,4.00,Burmese,2491
7,0,7.00,Female,$125.00,9/2/2019,1:06,Rocky Glades,8.00,Burmese,2522
7,7,7.58,Female,$150.00,9/2/2019,1:24,Rocky Glades,9.00,Burmese,2523
6,11,6.92,Female,$125.00,8/28/2019,21:17,L-31N,7.00,Burmese,2512
8,2,8.17,Male,$150.00,8/28/2019,22:00,L-31N,9.00,Burmese,2513
10,3,10.25,Male,$200.00,9/5/2019,22:10,Rocky Glades,24.00,Burmese,2524
7,0,7.00,Female,$125.00,8/27/2019,21:10,Rocky Glades,8.00,Burmese,2506
6,11,7.00,Male,$125.00,8/27/2019,23:30,Rocky Glades,7.00,Burmese,2507
2,4,2.33,Female,$50.00,8/29/2019,22:00,Rocky Glades,1.00,Burmese,2519
7,2,7.17,Male,$125.00,8/29/2019,23:00,Rocky Glades,8.00,Burmese,2520
7,4,7.33,Female,$125.00,8/29/2019,23:20,Rocky Glades,9.00,Burmese,2521
8,6,8.50,Female,$175.00,9/5/2019,20:20,Rocky Glades,14.00,Burmese,2525
7,5,7.42,Male,$125.00,9/5/2019,22:45,Rocky Glades,12.00,Burmese,2526
7,0,7.00,Female,$125.00,9/6/2019,0:25,Rocky Glades,8.00,Burmese,2528
5,10,5.83,Female,$100.00,9/6/2019,0:45,Rocky Glades,2.00,Burmese,2529
5,4,5.33,Female,$75.00,5/27/2019,2:40,L-28T,2.00,Burmese,2082
8,9,8.75,Female,$175.00,6/24/2019,21:20,L-28T,10.00,Burmese,2182
8,0,8.00,Female,$150.00,6/25/2019,1:15,L-28T,9.00,Burmese,2181
6,6,6.50,Female,$125.00,7/17/2019,0:45,L-28T,6.00,Burmese,2311
3,0,3.00,Female,$50.00,7/17/2019,1:10,L-28T,1.00,Burmese,2500
11,11,11.92,Male,$250.00,7/18/2019,1:45,L-28T,25.00,Burmese,2170
2,6,2.50,Female,$50.00,7/18/2019,22:00,L-28T,1.00,Burmese,2171
2,7,2.58,Female,$50.00,7/18/2019,22:00,L-28T,1.00,Burmese,2179
2,4,2.33,Female,$50.00,7/18/2019,23:30,L-28T,1.00,Burmese,2180
2,6,2.50,Female,$50.00,8/4/2019,2:40,L-28T,1.00,Burmese,2501
7,3,7.25,Male,$125.00,8/25/2019,4:10,L-28T,9.00,Burmese,2117
7,8,7.67,Male,$150.00,8/25/2019,5:10,L-28T,10.00,Burmese,2119
2,0,2.00,?,$50.00,8/10/2019,23:50,L-28T,1.00,Burmese,2382
2,2,2.17,?,$50.00,8/11/2019,0:30,L-28T,1.00,Burmese,2390
2,4,2.33,?,$50.00,8/11/2019,0:30,L-28T,1.00,Burmese,2391
3,0,3.00,?,$50.00,8/11/2019,0:35,L-28T,1.00,Burmese,2392
1,10,1.83,?,$50.00,8/11/2019,1:00,L-28T,1.00,Burmese,2393
1,11,1.92,?,$50.00,8/11/2019,1:20,L-28T,1.00,Burmese,2394
1,11,1.92,?,$50.00,8/11/2019,1:30,L-28T,1.00,Burmese,2395
1,4,1.33,?,$50.00,8/11/2019,2:15,L-28T,1.00,Burmese,2396
8,0,8.00,Female,$150.00,9/10/2019,21:50,L-28T,9.00,Burmese,2538
5,6,5.50,Male,$100.00,9/11/2019,22:15,L-28T,4.00,Burmese,2539
8,2,8.17,Female,$150.00,9/11/2019,22:25,Frog Pond,10.00,Burmese,2540
7,0,7.00,Female,$125.00,9/12/2019,0:05,Rocky Glades,8.00,Burmese,2551
2,8,2.67,Male,$50.00,9/5/2019,23:38,C-103,1.00,Burmese,2527
2,8,2.67,Male,$50.00,9/6/2019,0:12,L-31E,1.00,Burmese,2530
2,7,2.58,Female,$50.00,9/9/2019,23:45,C-103,1.00,Burmese,2536
2,9,2.75,Male,$50.00,9/9/2019,23:10,C-103,1.00,Burmese,2537
5,0,5.00,Male,$75.00,9/11/2019,23:25,C-103,3.00,Burmese,2541
2,11,2.92,Male,$50.00,9/11/2019,23:29,C-103,1.00,Burmese,2542
6,8,6.67,Female,$125.00,9/11/2019,23:51,C-102,7.00,Burmese,2543
2,8,2.67,Male,$50.00,9/11/2019,20:14,Rocky Glades,1.00,Burmese,2544
2,8,2.67,Male,$50.00,9/11/2019,21:55,Rocky Glades,1.00,Burmese,2545
2,9,2.75,Male,$50.00,9/11/2019,20:19,Rocky Glades,1.00,Burmese,2546
2,7,2.58,Male,$50.00,9/11/2019,20:20,Rocky Glades,1.00,Burmese,2547
2,8,2.67,Male,$50.00,9/11/2019,20:21,Rocky Glades,1.00,Burmese,2548
7,6,7.50,Female,$150.00,9/11/2019,19:40,Rocky Glades,8.00,Burmese,2549
2,5,2.42,Female,$50.00,9/11/2019,20:30,Rocky Glades,1.00,Burmese,2550
8,7,8.58,Male,$175.00,8/9/2019,22:30,L-28T,16.00,Burmese,2357
3,7,3.58,Female,$50.00,9/12/2019,21:45,Rocky Glades,1.00,Burmese,2552
8,6,8.50,Female,$175.00,9/17/2019,22:40,L-28T,15.00,Burmese,2557
11,6,11.50,Male,$250.00,7/13/2019,22:50,L-28T,25.00,Burmese,2156
5,4,5.33,Female,$75.00,8/2/2019,21:50,Rocky Glades,2.00,Burmese,2303
6,3,6.25,Male,$100.00,8/27/2019,21:05,Rocky Glades,4.00,Burmese,2508
6,6,6.50,Female,$125.00,8/27/2019,22:50,Rocky Glades,6.00,Burmese,2509
7,6,7.50,Male,$150.00,8/27/2019,23:30,Rocky Glades,9.00,Burmese,2510
9,1,9.08,Female,$175.00,8/28/2019,1:30,Rocky Glades,25.00,Burmese,2514
6,4,6.33,Female,$100.00,8/28/2019,3:10,Rocky Glades,6.00,Burmese,2515
8,3,8.25,Female,$150.00,9/6/2019,21:50,L-28T,9.00,Burmese,2531
7,1,7.08,Male,$125.00,9/6/2019,22:10,L-28T,7.00,Burmese,2532
7,7,7.58,Female,$150.00,9/7/2019,1:00,L-28T,10.00,Burmese,2533
8,1,8.08,Female,$150.00,9/7/2019,2:00,L-28T,10.00,Burmese,2534
6,1,6.08,Female,$100.00,9/7/2019,3:40,L-28T,2.00,Burmese,2535
7,11.4,7.95,Male,N/A,9/19/2019,21:06,L-28T,12.79,Burmese,2597
4,0,4.00,Male,$50.00,9/15/2019,20:12,L-28T,2.00,Burmese,2553
7,0,7.00,Male,$125.00,9/15/2019,23:45,L-28T,20.00,Burmese,2554
7,2,7.17,Female,$125.00,9/15/2019,23:52,L-28T,22.00,Burmese,2556
7,3,7.25,Male,$125.00,9/16/2019,0:46,L-28T,22.00,Burmese,2555
7,6,7.50,Female,$150.00,9/20/2019,21:41,L-28T,23.00,Burmese,2563
7,9,7.75,Male,$150.00,9/23/2019,1:32,L-28T,32.00,Burmese,2565
5,6,5.50,Female,$100.00,8/20/2019,21:03,L-67A,3.00,Burmese,2463
5,10,5.83,Male,$100.00,8/28/2019,1:21,L-67A,3.00,Burmese,2516
2,8,2.67,Female,$50.00,9/17/2019,0:04,Rocky Glades,1.00,Burmese,2558
3,4,3.33,Female,$50.00,9/17/2019,1:17,Rocky Glades,1.00,Burmese,2559
2,3,2.25,Male,$50.00,9/18/2019,1:42,L-31N,1.00,Burmese,2560
